sex;age;sgi1;shs1;shs2;shs3;shs4;p1;p2;p3;p4;p5;p6;p7;p8;p9;p10;p11;p12;p13;p14;p15;p16;p17;p18;p19;p20;s1;s2;s3;s4;s5;s6;s7;s8;s9;s10;s11;s12;f1;f2;f3;f4;f5;f6;f7;f8;swls1;swls2;swls3;swls4;swls5;pwi1;pwi2;pwi3;pwi4;pwi5;pwi6;pwi7;pwi8;sgi2;adm_method
F;46;5;5;6;4;6;5;1;3;1;5;1;1;1;4;3;5;4;1;4;4;5;5;2;5;1;5;1;4;1;4;1;5;1;1;4;1;3;4;2;6;2;6;5;6;2;3;3;1;2;2;2;8;4;5;7;2;2;2;6;o
M;21;7;3;2;3;6;4;4;3;5;3;3;2;3;2;2;4;4;1;1;5;3;3;5;4;1;4;4;4;5;4;5;3;2;1;2;5;3;3;1;4;3;2;1;3;2;1;5;4;5;3;9;9;5;6;4;2;2;1;4;o
F;22;4;4;4;1;6;4;5;3;4;1;1;3;4;3;1;4;3;3;3;4;3;4;3;2;4;4;3;3;2;3;3;3;2;2;3;2;1;2;4;3;6;5;4;1;4;1;3;3;3;3;3;8;2;7;7;4;0;5;3;o
M;35;7;4;4;3;4;3;3;3;3;3;2;2;2;3;3;3;4;1;3;2;3;4;1;2;2;3;3;3;2;4;3;3;3;2;3;3;3;4;3;5;4;7;6;5;5;4;4;4;4;4;8;8;6;4;7;6;6;4;5;o
M;19;8;4;2;4;6;2;5;2;4;3;2;3;1;3;4;3;2;1;4;3;3;2;2;3;3;3;3;3;2;3;1;4;3;3;3;1;3;5;4;3;3;4;4;5;6;4;5;5;4;2;7;9;6;8;9;7;2;9;7;o
F;23;7;5;6;7;1;5;2;5;2;4;2;1;2;5;5;4;4;3;4;3;5;5;3;5;1;5;1;4;2;4;2;5;3;1;4;3;5;7;6;7;7;6;7;7;6;7;5;6;7;7;9;7;10;8;8;9;5;5;9;o
F;23;7;5;6;7;1;5;2;5;2;4;2;1;2;5;5;4;4;3;4;3;5;5;3;5;1;5;1;4;2;4;2;5;3;1;4;3;5;7;6;7;7;6;7;7;6;7;5;6;7;7;9;7;10;8;8;9;5;5;9;o
M;21;6;4;4;2;4;4;4;3;3;3;1;5;3;3;2;5;3;1;3;5;4;3;5;3;4;3;3;3;3;3;3;3;3;4;3;4;2;6;5;7;4;4;4;2;6;4;1;3;3;3;4;2;3;8;5;0;1;0;4;o
F;20;7;5;4;2;3;3;2;2;2;2;1;1;4;3;3;5;4;3;2;3;3;5;3;2;1;4;2;4;1;5;3;4;2;1;3;4;1;5;7;5;4;5;7;3;6;5;4;5;2;7;6;10;8;10;8;0;2;10;7;o
F;18;5;4;4;2;7;4;4;2;4;1;5;5;4;2;4;4;1;5;1;5;1;1;5;1;5;1;5;1;5;1;5;1;5;5;1;5;1;3;2;2;2;2;2;6;6;2;2;2;1;1;2;0;0;0;0;0;0;0;0;o
F;23;6;6;5;4;5;4;2;1;2;3;1;2;1;1;1;4;2;1;4;3;3;2;2;3;1;3;3;3;3;3;3;3;3;1;3;3;3;6;5;6;6;7;7;4;5;4;6;4;4;6;7;7;7;7;10;8;2;4;7;o
F;21;9;7;7;6;2;5;3;3;3;5;1;3;1;5;4;3;4;1;2;2;5;4;2;4;3;5;2;4;2;4;1;5;1;2;4;3;5;7;7;7;6;6;6;2;7;7;6;7;7;6;9;10;10;10;8;7;0;3;9;p
F;23;7;5;4;2;4;5;2;3;3;3;1;2;2;4;5;3;4;2;4;3;4;4;2;4;2;4;3;4;2;4;2;3;3;3;4;2;4;6;5;6;6;6;6;4;5;5;3;5;3;2;6;8;9;6;7;7;5;6;7;p
F;21;8;6;5;3;1;5;2;1;1;3;1;1;1;1;4;3;5;1;4;3;5;5;4;5;1;4;2;4;2;3;3;3;1;1;3;1;1;7;5;7;4;7;6;3;7;7;7;6;1;3;10;10;8;7;5;3;2;10;8;p
F;24;4;4;3;3;5;4;4;2;3;2;4;5;2;3;4;4;3;4;2;5;3;3;4;4;4;3;4;3;2;3;4;3;4;5;3;4;2;3;3;4;3;5;5;2;4;3;3;4;2;2;3;4;3;4;3;3;1;3;4;p
F;25;8;6;7;6;6;5;5;5;4;4;2;3;2;5;5;4;4;1;3;3;4;3;3;5;3;3;3;3;3;3;3;3;3;3;3;3;3;7;7;7;7;7;7;6;7;7;6;6;6;6;7;7;7;7;7;5;5;5;7;p
F;21;4;2;2;1;7;3;5;2;5;4;1;1;5;3;3;5;4;4;2;5;4;4;4;3;1;3;4;3;3;3;3;2;4;1;2;3;2;4;1;5;4;7;5;2;2;2;2;3;3;2;4;3;5;7;7;7;5;6;6;p
F;25;9;7;4;5;1;5;2;3;1;3;1;2;2;5;5;4;3;2;3;4;3;3;4;1;1;4;2;4;1;5;1;4;2;1;5;3;4;7;7;7;7;5;7;6;6;5;7;7;6;7;10;10;7;8;10;4;6;10;10;p
M;29;6;5;5;2;7;3;3;3;3;3;3;4;2;3;3;2;2;2;2;3;2;3;3;2;5;3;3;5;1;3;3;3;3;4;3;2;1;3;3;2;2;4;7;1;6;2;4;1;3;2;7;10;7;7;6;5;6;6;5;p
M;20;6;5;5;4;2;4;3;4;1;4;1;1;1;4;5;3;1;1;1;3;4;3;3;3;1;3;3;3;3;3;3;3;3;1;3;3;3;5;5;5;5;5;5;5;5;5;5;5;5;1;7;7;7;7;7;7;7;7;7;p
F;21;7;6;6;4;5;4;3;3;3;3;3;3;3;4;4;4;4;3;3;4;4;3;3;4;3;4;3;3;4;3;3;3;2;2;3;3;3;4;4;5;5;5;5;5;6;3;6;5;4;2;6;7;6;7;8;6;5;4;6;p
F;20;8;6;6;5;5;4;4;3;4;5;2;3;2;4;5;4;4;1;3;4;5;3;4;4;2;4;2;4;2;4;2;4;2;1;4;3;4;7;6;6;5;7;5;6;7;6;6;6;7;5;9;7;9;9;9;8;9;5;9;p
F;19;7;6;5;5;3;4;2;3;2;4;1;2;2;4;5;4;4;2;2;4;5;4;4;5;2;4;2;4;2;4;2;4;2;2;3;5;4;5;4;5;7;7;4;7;3;4;4;5;4;4;9;0;5;5;5;5;5;5;5;p
F;21;5;3;2;1;7;5;5;2;3;2;4;5;5;4;3;4;4;3;1;5;5;2;1;3;2;3;4;2;4;3;3;1;4;2;3;5;1;6;2;7;2;6;3;2;5;2;1;2;1;2;4;6;5;1;7;8;4;6;4;p
F;42;4;3;4;3;6;3;4;3;4;3;3;4;3;3;3;3;3;3;3;4;3;3;4;3;4;3;4;3;3;3;4;2;5;4;3;3;3;3;2;2;2;3;2;2;3;2;2;2;3;2;2;8;4;2;2;2;2;2;2;p
F;25;6;4;4;4;5;4;4;3;3;3;2;2;2;3;2;2;2;2;3;3;3;2;3;3;2;3;3;3;2;3;2;3;2;2;3;2;3;5;5;4;4;4;5;4;4;3;4;4;2;2;6;7;6;7;5;7;5;2;6;p
F;28;3;2;4;3;7;4;4;2;5;1;3;4;5;1;3;4;1;2;3;4;1;3;4;1;3;2;5;2;5;2;5;1;5;3;2;4;1;4;1;4;5;7;5;1;4;1;1;1;1;4;3;2;2;1;10;1;0;5;4;p
F;22;6;5;4;3;3;4;2;3;3;2;1;2;3;4;4;2;2;3;3;3;4;4;2;3;2;4;3;4;2;4;2;4;3;1;4;3;4;5;5;6;6;6;5;4;5;3;3;4;3;3;5;3;6;7;6;5;3;8;8;p
F;21;6;5;5;3;5;3;2;2;2;4;2;2;3;2;5;4;4;4;3;5;4;4;3;3;3;3;3;3;3;4;2;4;2;2;2;2;3;3;3;4;3;4;6;4;4;3;2;4;2;4;6;6;6;4;4;4;3;4;5;p
F;50;7;6;6;2;3;3;5;2;4;3;3;3;1;2;5;3;5;1;1;3;3;3;3;3;3;3;3;2;4;3;4;2;2;3;2;2;2;1;1;2;2;6;6;2;6;1;3;4;3;1;5;10;5;0;0;0;5;0;5;p
F;24;7;6;6;5;5;5;3;4;3;4;2;2;3;4;4;4;4;2;4;2;5;4;2;4;2;4;2;4;3;4;3;4;3;1;3;3;3;7;5;6;6;6;6;6;5;6;6;6;7;7;9;10;10;9;9;9;9;8;9;p
F;21;8;6;6;4;2;4;3;3;3;3;2;2;2;2;3;4;3;2;3;4;4;3;3;3;2;4;3;4;2;4;2;4;2;2;4;2;4;4;5;4;4;6;4;4;6;5;4;5;5;6;8;7;8;8;7;6;6;6;9;p
M;26;8;6;5;4;4;4;3;2;3;4;2;3;1;3;4;1;4;1;4;2;3;4;2;4;3;3;4;3;3;3;2;3;2;4;2;1;2;5;6;6;6;7;6;4;5;4;3;4;4;5;9;10;7;8;6;5;1;9;8;p
F;25;8;5;5;5;2;5;4;2;3;3;2;4;1;5;4;1;5;1;3;4;5;5;5;5;4;3;3;4;2;4;2;3;4;4;4;1;5;7;7;7;6;7;7;7;7;6;5;6;7;6;9;1;10;9;7;5;1;6;7;p
F;25;8;6;6;5;1;5;1;3;2;3;1;2;1;5;1;1;4;1;3;2;5;3;2;5;1;5;1;4;1;5;1;4;2;1;4;2;4;7;7;6;5;5;5;3;7;5;5;6;7;7;8;10;8;9;8;9;4;0;9;p
F;26;5;6;6;6;6;5;3;3;1;3;4;3;3;4;2;3;4;3;2;3;3;4;3;4;2;4;4;5;2;3;4;3;5;1;3;5;4;2;5;7;7;7;5;4;5;2;1;2;3;5;4;7;3;2;10;3;1;6;6;p
F;25;8;6;5;1;7;4;5;3;5;2;5;5;3;3;1;4;2;5;3;5;3;2;5;3;5;4;5;4;4;4;4;3;4;4;3;3;2;5;1;5;2;2;2;1;4;1;1;1;1;1;7;6;1;10;1;1;0;0;1;p
F;21;9;7;6;6;2;5;2;4;2;3;2;3;1;4;3;2;4;1;3;2;4;4;3;3;2;3;3;4;1;4;2;3;2;4;2;1;3;5;3;4;7;5;7;3;7;4;6;5;5;4;10;6;8;9;9;8;6;7;8;p
F;21;6;5;6;1;4;3;2;3;1;4;1;1;1;3;5;2;3;1;3;4;5;4;2;5;1;5;2;3;1;4;2;4;2;2;4;2;3;3;2;4;6;7;7;1;1;3;7;6;7;3;7;10;10;0;10;0;0;0;8;p
F;40;3;3;4;3;6;3;1;1;1;3;1;1;2;1;5;4;4;1;3;3;2;4;3;3;1;2;4;2;3;2;1;2;3;1;2;1;3;2;1;2;1;4;2;1;4;1;1;1;1;2;5;10;2;0;5;0;3;0;1;p
F;21;6;6;4;3;1;4;2;3;1;4;1;1;1;3;5;3;3;2;2;2;3;3;1;4;1;4;1;3;3;4;1;4;1;1;3;2;4;3;3;3;2;3;3;2;3;2;3;3;1;2;7;9;6;8;7;6;5;3;7;p
M;23;2;3;4;3;6;3;4;4;3;2;1;3;2;2;2;3;2;1;2;4;3;3;3;3;3;2;4;5;1;2;2;2;4;3;2;4;2;3;2;5;4;3;3;3;3;1;1;3;3;1;3;6;4;2;2;1;2;4;2;p
F;26;8;5;4;5;2;4;2;3;1;3;1;2;2;3;2;4;3;1;4;3;4;3;3;3;3;4;3;4;2;4;2;4;2;1;3;2;3;6;3;6;3;5;6;6;3;4;5;5;6;3;7;8;7;5;4;4;6;2;8;p
M;36;2;2;2;2;3;2;3;2;4;3;4;3;3;2;4;4;2;3;2;4;3;2;3;2;3;2;4;3;3;2;3;2;5;3;2;3;2;2;1;2;3;3;3;2;2;2;2;2;2;2;3;4;2;1;2;1;2;0;0;p
F;20;7;4;4;3;5;4;3;2;4;2;1;2;1;2;3;3;3;2;2;3;2;3;4;2;3;2;3;2;1;2;3;3;4;2;2;2;2;3;3;5;4;3;4;3;3;4;3;5;4;6;7;6;6;4;3;5;2;1;7;p
M;23;8;5;5;3;4;5;3;4;3;4;4;2;1;5;5;2;3;3;4;4;4;3;3;2;3;3;4;3;4;3;3;3;4;4;3;2;3;5;5;3;5;4;3;5;6;6;5;4;6;7;7;6;8;7;6;8;7;7;8;p
M;22;7;6;5;3;2;5;3;4;1;3;1;1;2;4;4;2;5;1;5;2;4;5;2;4;1;4;2;4;1;4;2;3;2;1;3;2;3;6;6;7;5;7;6;6;6;5;6;6;6;5;8;8;9;6;8;7;7;0;8;p
M;22;5;4;4;4;6;2;2;3;3;4;2;2;3;3;3;2;3;3;3;3;3;3;3;3;2;2;4;3;4;3;3;3;3;1;3;4;2;5;4;4;3;5;5;3;4;3;3;3;3;2;6;6;6;6;6;4;4;7;5;p
F;22;6;3;2;1;6;5;5;4;5;2;4;5;2;3;4;5;3;5;5;5;2;4;5;2;5;4;2;4;2;4;2;4;2;3;3;3;3;2;2;6;3;6;5;1;6;2;6;3;3;2;5;9;3;3;6;2;1;8;6;p
F;32;5;4;4;4;4;3;2;3;3;2;1;2;1;3;3;4;3;1;3;4;1;3;3;1;2;3;3;3;3;3;3;3;3;1;3;4;2;2;4;4;4;6;6;5;6;2;1;2;2;1;5;5;4;6;5;5;5;0;5;p
F;28;5;4;4;3;5;4;2;2;2;2;2;3;2;3;3;3;3;1;3;3;3;3;3;3;2;3;2;4;2;3;2;3;2;2;3;3;3;2;3;4;3;4;6;4;4;3;3;2;2;2;4;5;5;6;4;4;4;7;5;p
M;40;2;3;3;2;3;3;3;1;3;1;3;3;2;2;3;3;3;4;2;2;2;2;4;2;2;2;4;3;3;3;3;2;4;4;2;2;2;2;3;5;5;6;6;2;6;2;3;2;2;1;5;2;2;4;2;2;2;2;2;p
F;46;7;6;6;2;3;5;2;4;1;4;1;1;1;4;3;1;4;1;3;1;4;4;1;4;1;5;2;4;2;4;1;4;2;1;4;1;4;6;3;7;7;7;6;3;6;3;5;6;5;7;7;10;8;6;8;4;7;1;8;p
F;19;7;5;5;4;4;4;5;3;4;4;3;3;2;3;3;3;2;2;3;4;4;2;3;2;3;3;3;4;3;3;3;4;3;5;4;3;4;6;3;2;4;3;4;3;2;5;2;5;3;4;3;3;7;4;2;2;2;2;2;p
F;49;8;6;7;5;1;5;1;4;2;5;1;1;2;5;5;5;4;1;5;4;5;5;3;5;1;5;2;4;2;4;2;4;1;1;4;4;4;7;7;7;7;6;7;6;7;5;5;6;5;6;7;10;8;8;7;3;3;7;8;p
F;24;7;6;6;6;3;4;2;4;2;4;1;1;1;4;4;2;3;1;2;1;4;3;1;4;1;4;2;4;1;3;1;4;1;1;4;1;3;5;5;5;5;5;5;5;5;5;4;5;5;5;7;7;7;8;7;7;3;3;7;p
M;23;3;6;4;7;1;4;2;4;2;5;1;2;2;4;3;3;4;1;5;2;4;4;2;5;1;4;2;5;1;4;2;4;2;1;4;2;4;6;7;5;6;5;7;7;7;5;5;6;5;6;7;6;7;10;5;7;0;10;7;p
F;21;9;6;6;5;2;4;2;3;1;4;1;1;1;5;3;3;3;1;5;2;4;3;1;4;1;4;2;4;2;4;2;5;1;1;4;2;5;6;6;5;5;5;7;6;6;7;7;7;5;6;10;10;9;9;9;8;7;7;10;p
M;23;7;6;5;6;5;5;3;4;3;3;3;2;1;4;2;2;3;1;4;2;3;3;2;4;2;3;3;4;2;4;2;3;3;4;3;2;2;5;7;5;6;5;5;3;5;4;5;5;4;3;7;6;7;9;8;8;4;6;7;p
F;20;8;7;7;7;1;5;2;1;1;4;1;1;1;4;4;1;5;1;4;2;5;4;2;3;1;5;2;5;1;5;1;5;2;1;4;1;5;6;5;7;7;7;7;6;6;6;4;5;4;4;8;9;8;8;8;8;7;7;8;p
M;20;5;4;3;6;3;3;1;2;4;4;1;4;1;4;4;2;3;3;1;3;4;3;3;3;3;3;3;3;4;3;3;3;4;4;3;4;4;3;5;5;5;5;5;4;5;3;6;4;7;3;8;7;9;7;8;8;7;4;4;p
F;27;6;6;5;5;2;4;3;4;2;3;2;3;3;3;4;3;3;2;2;3;3;3;2;3;2;4;2;4;2;4;1;5;2;2;4;2;3;5;5;5;6;6;7;7;6;6;5;5;6;5;5;9;7;8;8;6;3;3;7;p
F;19;6;6;6;4;1;4;2;5;4;4;1;2;2;3;4;1;3;1;3;2;4;4;2;3;3;2;4;3;4;2;4;3;5;4;2;3;2;4;6;5;5;6;7;7;6;4;3;4;4;2;6;8;7;8;8;8;7;6;6;p
F;22;9;6;5;5;2;5;2;4;3;4;1;3;2;4;4;3;3;3;4;4;4;4;4;4;3;4;2;4;2;4;2;4;3;3;4;2;4;6;6;6;5;5;5;6;6;5;4;6;5;5;9;10;8;9;8;9;6;6;9;p
F;22;8;6;5;6;5;3;2;3;2;2;2;2;2;4;3;3;2;1;2;2;5;4;3;4;1;4;1;4;1;4;2;4;3;1;4;2;4;6;5;4;3;6;6;6;6;5;5;5;6;5;8;9;9;9;9;8;4;4;8;p
F;25;5;5;4;4;7;1;5;5;5;3;5;5;5;5;4;5;1;5;3;5;3;3;5;3;5;1;5;3;3;1;5;3;5;5;3;5;3;1;2;1;5;2;2;2;1;1;4;2;1;1;3;3;1;1;0;0;0;0;5;p
F;25;5;5;5;4;1;3;2;3;4;2;4;1;1;3;2;3;3;2;2;4;3;2;2;4;1;4;2;4;1;5;1;4;2;1;4;1;3;4;3;5;2;4;5;5;4;3;3;4;3;3;4;8;6;9;5;5;5;3;7;p
F;23;5;5;4;3;5;4;5;3;4;3;5;5;3;3;3;4;2;3;2;4;3;3;3;2;3;2;4;3;3;2;3;2;3;5;2;3;2;3;3;3;3;3;4;4;3;3;3;2;3;1;3;6;2;2;2;4;0;0;6;p
F;25;4;4;3;3;5;3;2;3;4;2;1;2;2;3;4;4;3;3;2;3;3;3;2;3;2;2;3;3;2;3;2;2;3;2;2;3;2;2;2;3;3;5;3;2;5;2;2;3;2;2;2;10;2;2;3;2;2;0;4;p
F;25;6;5;4;3;4;3;1;2;2;4;2;1;2;2;4;4;4;2;3;2;4;4;2;2;1;3;3;3;2;3;2;2;2;1;1;3;2;5;4;5;4;6;6;6;5;3;5;5;5;3;7;7;8;6;8;5;6;1;6;p
F;24;7;6;6;5;3;4;3;3;4;3;1;2;1;4;4;1;4;2;4;1;4;4;2;4;1;5;1;3;2;4;2;4;2;1;4;1;5;3;1;4;4;5;6;2;4;4;3;4;4;3;5;5;7;4;5;3;0;3;7;p
M;22;8;6;5;3;4;4;2;4;3;4;1;3;3;4;4;4;3;2;3;3;4;5;3;5;2;4;3;4;3;4;3;4;3;1;3;3;3;7;7;7;7;7;7;6;5;4;4;5;5;6;8;10;9;8;9;5;2;3;8;p
F;24;6;6;5;5;3;5;4;3;4;3;4;4;3;3;4;5;3;3;3;5;4;4;5;3;5;4;4;4;4;3;3;3;3;5;3;5;4;5;5;5;5;5;6;5;6;5;5;5;6;6;9;0;6;8;8;6;7;1;9;p
M;20;8;5;4;6;6;4;2;1;3;2;2;2;1;2;2;2;2;1;2;1;3;2;3;3;2;4;5;3;4;3;5;4;4;2;2;2;2;6;6;4;6;5;5;5;6;3;3;5;3;4;7;8;7;8;4;2;1;0;7;p
F;22;7;6;6;6;2;3;1;3;2;5;1;2;1;3;3;2;3;3;3;3;4;4;2;4;1;3;2;4;2;4;1;4;2;1;4;2;4;5;5;5;4;6;6;3;5;5;4;5;4;3;7;8;6;9;7;7;4;8;8;p
F;25;4;5;2;3;6;4;4;2;3;3;1;2;1;2;2;2;3;1;2;3;4;3;3;2;2;3;4;3;1;1;2;2;3;1;1;4;1;5;5;5;4;5;6;4;5;2;5;3;3;5;8;8;6;5;5;6;3;6;2;p
F;25;2;4;3;2;6;3;4;2;3;1;5;3;3;2;2;5;2;2;2;4;3;2;4;1;4;3;4;3;4;3;4;2;4;4;2;4;1;2;6;4;2;2;3;1;4;1;1;1;3;1;1;7;1;9;2;1;1;10;3;p
M;52;6;5;6;4;6;4;2;3;3;3;2;4;2;3;4;4;3;2;3;4;4;3;4;4;2;4;2;3;2;4;2;3;3;2;4;3;3;4;4;4;5;4;5;5;5;4;3;3;3;2;5;3;6;6;6;6;7;6;6;p
F;23;6;4;4;5;7;3;4;3;4;3;2;3;3;3;2;4;2;4;2;4;2;3;4;2;4;4;2;4;2;4;2;4;2;4;3;2;2;6;5;5;5;5;5;2;4;2;2;3;1;1;6;6;3;9;8;7;3;9;6;p
F;24;7;5;6;5;2;4;1;2;1;3;2;2;1;4;4;1;4;1;4;1;3;3;2;3;2;5;1;4;1;4;1;4;2;2;3;1;3;5;3;4;5;6;6;6;6;5;3;5;5;3;5;8;4;5;5;5;3;7;6;p
F;22;9;6;6;5;2;5;4;4;3;4;1;3;2;4;4;2;4;2;4;3;4;4;2;4;2;4;2;5;1;4;2;4;2;3;3;1;4;6;6;6;6;6;6;6;5;6;6;6;6;6;9;9;9;9;9;9;9;9;9;p
F;24;8;7;6;6;1;5;3;4;3;4;2;3;2;5;3;3;5;3;4;3;5;4;2;5;3;5;2;5;2;5;3;5;2;3;5;3;4;7;7;7;7;7;7;6;6;7;6;7;7;7;8;10;10;9;10;7;6;6;9;p
F;23;8;7;6;5;1;3;2;2;1;4;1;1;1;3;3;2;4;1;3;1;4;4;3;3;2;2;3;2;3;2;3;2;3;3;2;2;2;6;6;3;4;3;7;7;7;4;6;5;4;4;9;8;7;9;10;7;8;9;8;p
F;22;7;5;5;3;4;5;3;3;2;3;1;2;2;3;4;2;3;2;3;3;3;3;3;3;3;3;4;3;1;3;2;3;2;2;3;2;3;5;6;5;5;6;7;5;6;5;5;5;5;3;5;9;10;9;8;8;3;7;7;p
F;23;7;4;3;2;5;3;5;3;4;1;2;4;2;2;3;5;3;3;2;5;4;3;3;3;3;2;4;2;4;3;3;3;3;4;2;4;2;7;5;4;6;4;6;1;4;4;2;3;2;2;6;2;5;7;4;2;1;1;5;p
M;33;5;4;3;5;6;4;1;3;1;3;1;1;2;3;4;3;5;1;3;2;5;4;2;4;1;3;3;3;2;2;4;2;4;2;3;4;3;5;5;7;5;7;6;5;6;5;2;4;4;1;4;4;7;6;2;5;2;2;4;p
F;25;6;4;4;4;5;2;5;2;5;3;3;4;2;3;4;2;2;1;2;2;3;3;4;2;4;2;3;3;3;2;2;2;3;4;2;3;2;3;2;3;2;4;4;2;5;4;1;5;5;4;4;10;6;9;7;7;0;5;7;p
F;26;8;6;6;6;4;5;5;3;4;4;2;4;2;4;4;4;4;2;4;2;2;3;2;3;4;4;3;4;2;3;3;3;3;4;3;2;3;7;7;6;6;6;7;6;6;6;5;6;5;5;8;9;8;9;9;8;4;7;8;p
F;24;7;7;6;5;1;3;2;5;2;4;2;3;2;5;2;4;3;5;5;3;5;5;5;5;3;4;2;5;2;5;2;5;3;2;5;3;4;6;7;7;7;7;7;5;6;3;3;5;4;7;7;4;7;10;4;6;4;0;8;p
M;60;9;7;7;7;1;5;1;4;1;5;1;1;1;5;5;1;4;1;5;1;5;5;1;5;1;5;1;5;1;5;1;5;1;1;5;1;5;7;6;7;7;7;7;7;7;7;4;7;6;7;8;10;9;10;10;9;5;10;9;p
F;28;7;6;5;5;5;3;4;4;1;3;5;4;1;4;3;5;4;4;2;4;3;3;4;5;4;3;3;3;2;3;3;2;3;3;5;3;4;3;5;5;5;7;5;3;4;2;4;3;2;1;7;10;7;8;10;10;3;6;7;p
F;22;6;6;5;3;7;3;4;4;5;2;2;3;2;3;4;5;1;2;2;3;2;3;3;3;3;3;3;4;2;3;2;4;5;3;4;3;2;5;2;3;6;5;7;5;5;4;3;3;5;6;6;5;6;6;4;5;4;6;6;p
F;22;7;7;7;6;2;4;1;3;1;5;1;2;1;4;4;2;4;1;5;2;4;4;1;5;1;4;1;4;1;4;1;4;1;1;4;1;4;6;7;6;7;7;6;6;6;5;6;6;5;3;9;10;8;10;10;9;8;6;7;p
M;24;7;5;5;2;4;3;2;4;3;2;3;4;1;3;3;2;1;1;2;3;2;2;1;2;3;4;1;3;2;3;2;3;2;2;3;1;3;4;5;5;5;4;5;4;5;5;5;5;4;4;7;8;6;6;7;7;4;1;7;p
F;24;7;6;6;3;6;4;4;2;4;3;3;2;4;2;5;5;3;2;2;4;2;3;4;2;2;3;5;3;5;3;5;3;5;2;2;4;2;4;4;3;3;6;6;3;6;2;4;2;2;2;6;10;2;8;6;4;2;2;4;p
F;25;6;5;5;4;5;4;3;3;4;4;1;3;2;3;5;5;4;3;3;4;5;3;2;3;2;3;3;4;3;3;3;3;2;2;3;2;3;7;4;4;4;5;5;5;6;5;7;4;4;6;9;9;6;2;2;2;2;2;5;p
F;28;7;6;5;4;4;2;1;1;1;2;1;2;1;2;3;2;3;1;2;1;2;3;1;3;1;2;2;3;1;3;1;2;1;1;2;1;3;4;3;5;5;5;5;4;4;3;3;5;5;2;7;9;8;6;8;6;5;0;6;p
M;23;9;6;6;5;2;4;1;3;1;3;2;2;2;4;2;2;4;2;3;3;3;4;1;4;1;5;3;5;1;5;1;5;2;1;4;3;4;6;6;6;6;6;6;5;7;6;7;7;7;6;9;8;8;8;9;8;8;10;9;p
F;21;6;5;5;5;4;3;2;3;2;1;1;3;4;3;4;5;2;4;3;5;3;3;2;3;1;3;4;3;4;3;1;4;4;2;2;4;3;4;5;5;6;4;5;3;3;2;2;4;2;2;6;7;5;5;6;6;5;4;6;p
M;23;5;4;2;4;4;3;2;3;2;4;2;2;2;3;3;4;3;4;4;4;4;4;4;4;4;3;4;3;4;3;4;2;4;2;4;3;2;3;2;4;4;5;6;4;3;2;3;2;5;3;3;4;3;1;8;6;5;10;5;p
M;19;4;4;3;1;6;1;1;1;4;2;1;1;1;1;2;1;1;1;1;2;1;1;2;1;2;2;5;3;2;1;1;2;4;2;1;1;1;2;2;3;2;1;2;2;4;2;2;1;1;2;5;9;3;3;1;3;0;0;3;p
F;29;7;5;3;2;6;3;4;1;4;5;1;4;1;2;3;2;4;2;4;5;4;4;4;4;4;1;5;5;1;4;2;2;4;4;2;4;2;1;1;1;1;7;7;1;1;1;1;1;6;2;1;1;1;1;1;0;0;0;3;p
F;26;6;5;5;7;5;5;3;4;3;4;2;3;1;3;3;4;4;1;5;3;4;5;4;4;3;5;3;5;3;4;3;5;5;4;5;5;4;4;7;7;6;7;6;3;4;3;3;4;6;3;6;10;6;10;7;5;0;6;5;p
F;26;9;6;7;5;4;4;2;1;1;3;4;2;3;4;5;3;2;2;4;1;5;4;2;4;2;4;3;3;1;3;1;3;4;3;3;2;3;6;5;5;5;6;6;7;7;6;7;7;7;7;9;8;8;8;7;7;8;7;10;p
F;23;8;6;6;6;2;5;2;5;3;5;2;4;1;5;5;2;4;3;5;3;4;4;4;5;5;4;2;4;2;4;2;4;3;3;4;3;4;7;6;7;7;6;7;7;7;5;5;6;7;5;5;10;10;8;4;7;2;10;9;p
F;25;6;5;3;2;6;4;4;3;3;4;2;4;2;4;4;5;4;2;3;4;4;4;4;4;3;4;2;4;2;3;3;4;2;3;4;4;3;4;5;5;5;3;4;2;5;2;1;4;5;1;6;6;6;8;8;6;3;0;7;p
M;20;7;5;6;5;2;5;1;4;2;5;5;3;2;4;1;2;3;1;4;1;5;3;2;4;1;4;4;3;3;3;3;3;3;1;2;3;2;4;3;6;5;7;6;5;7;4;1;3;5;3;4;10;8;2;0;5;6;10;5;p
F;26;7;6;6;6;1;4;1;1;1;4;1;1;1;3;1;1;4;1;3;2;3;3;2;3;1;4;3;4;3;4;3;4;3;2;3;3;3;6;5;6;5;7;6;5;5;5;4;5;4;4;8;8;8;8;8;8;8;6;8;p
F;28;1;3;4;3;1;2;5;1;3;1;5;5;1;1;1;2;1;4;1;2;1;1;4;1;5;1;4;2;3;1;3;1;5;5;1;1;1;1;1;1;1;1;1;1;3;2;2;1;2;2;1;1;0;0;0;0;0;6;0;p
F;25;7;6;5;4;4;3;3;4;3;4;1;2;1;3;2;4;3;1;2;4;3;3;2;3;2;4;3;3;2;3;3;3;3;2;3;3;3;5;5;4;4;5;6;4;5;4;2;4;3;4;5;8;6;8;5;3;3;3;8;p
F;23;5;5;1;6;4;5;5;2;5;3;1;5;1;3;3;5;4;1;1;5;5;5;5;3;1;4;4;4;4;4;4;4;4;1;3;1;2;1;7;1;1;7;3;3;7;1;5;2;2;2;0;10;8;9;10;10;0;0;0;p
